epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2406.67,1.66891,1.6554,1.51774,0.36421,0.31692,0.26783,0.09062,2.46338,2.7973,2.29647,0.002773,0.002773,0.002773
75,2438.91,1.62906,1.61668,1.48045,0.3586,0.28875,0.26196,0.09914,2.44831,2.81867,2.3435,0.002674,0.002674,0.002674
76,2471.69,1.64127,1.59584,1.4948,0.37373,0.28951,0.25752,0.09275,2.4383,2.91212,2.34666,0.002575,0.002575,0.002575
77,2503.73,1.63115,1.57882,1.49509,0.38359,0.271,0.25366,0.09025,2.48078,2.93376,2.36174,0.002476,0.002476,0.002476
78,2536.59,1.58699,1.57174,1.47018,0.33405,0.31955,0.24548,0.08129,2.51554,2.91674,2.40058,0.002377,0.002377,0.002377
79,2568.93,1.5969,1.54103,1.47263,0.30124,0.3099,0.25161,0.08501,2.51505,2.85065,2.41496,0.002278,0.002278,0.002278
80,2602,1.58383,1.56468,1.46985,0.35948,0.32781,0.2625,0.0832,2.5175,2.87609,2.37428,0.002179,0.002179,0.002179
81,2637.17,1.59795,1.54948,1.4713,0.41713,0.24789,0.24126,0.07879,2.53304,2.90203,2.39879,0.00208,0.00208,0.00208
82,2670.57,1.59218,1.51087,1.46691,0.34847,0.26048,0.24052,0.08201,2.53194,3.03716,2.41402,0.001981,0.001981,0.001981
83,2702.85,1.56042,1.50021,1.44275,0.3404,0.28861,0.24706,0.08749,2.49099,2.97154,2.39232,0.001882,0.001882,0.001882
84,2735.25,1.55531,1.47424,1.43858,0.34147,0.2893,0.25428,0.08513,2.51755,3.03293,2.42667,0.001783,0.001783,0.001783
85,2767.71,1.55048,1.50486,1.43638,0.33934,0.2631,0.24497,0.0791,2.56491,3.03739,2.41306,0.001684,0.001684,0.001684
86,2800.37,1.56465,1.47342,1.43791,0.33434,0.28874,0.25077,0.08159,2.52994,3.00014,2.42241,0.001585,0.001585,0.001585
87,2833.26,1.54534,1.42731,1.42949,0.36589,0.25748,0.23774,0.08562,2.54421,2.92628,2.45666,0.001486,0.001486,0.001486
88,2865.52,1.52892,1.44446,1.41715,0.41646,0.23802,0.2397,0.07848,2.53794,2.92924,2.4446,0.001387,0.001387,0.001387
89,2898.67,1.52733,1.44697,1.42904,0.3621,0.29341,0.26321,0.0856,2.5146,2.99603,2.41576,0.001288,0.001288,0.001288
90,2933.3,1.52176,1.42986,1.40939,0.33671,0.26839,0.2405,0.087,2.53476,3.03926,2.4291,0.001189,0.001189,0.001189
91,2980.85,1.35856,1.08646,1.39106,0.41701,0.24047,0.2301,0.08054,2.57236,3.06063,2.45535,0.00109,0.00109,0.00109
92,3012.26,1.32226,1.02281,1.36402,0.27847,0.29133,0.22401,0.07771,2.54287,3.05497,2.43462,0.000991,0.000991,0.000991
93,3043.41,1.30621,0.99235,1.36021,0.30101,0.29238,0.23939,0.07835,2.525,3.03378,2.41161,0.000892,0.000892,0.000892
94,3075.83,1.28906,0.96436,1.33673,0.32357,0.29099,0.24319,0.07928,2.56995,3.08746,2.48933,0.000793,0.000793,0.000793
95,3108.73,1.27882,0.93584,1.33042,0.32791,0.28299,0.2392,0.07455,2.57472,3.14061,2.49393,0.000694,0.000694,0.000694
96,3142.16,1.27595,0.9378,1.3218,0.40267,0.24435,0.22981,0.07483,2.59899,3.13918,2.54039,0.000595,0.000595,0.000595
97,3175.41,1.26879,0.9456,1.33596,0.34937,0.2618,0.24317,0.07649,2.58794,3.12818,2.51646,0.000496,0.000496,0.000496
98,3208.56,1.22781,0.89871,1.30405,0.34848,0.27692,0.24361,0.07886,2.57662,3.09859,2.5007,0.000397,0.000397,0.000397
99,3242.13,1.21531,0.89358,1.29039,0.36147,0.24319,0.24149,0.08123,2.58598,3.09724,2.51279,0.000298,0.000298,0.000298
100,3275.36,1.22272,0.89196,1.29353,0.34902,0.27877,0.24106,0.07914,2.58562,3.15165,2.50102,0.000199,0.000199,0.000199
