epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2871.12,0.81443,0.39075,1.17384,0.94612,0.88236,0.90815,0.46142,1.92606,0.91549,2.45063,0.000127306,0.000127306,0.000127306
85,2905.21,0.81566,0.39521,1.17067,0.94698,0.89424,0.92136,0.46514,1.90888,0.89129,2.38641,0.000120238,0.000120238,0.000120238
86,2940.13,0.82419,0.39518,1.1658,0.94491,0.88055,0.92011,0.46858,1.89465,0.86735,2.42771,0.000113169,0.000113169,0.000113169
87,2974.27,0.80756,0.38732,1.17397,0.94294,0.88144,0.91228,0.46871,1.95101,0.87175,2.47986,0.0001061,0.0001061,0.0001061
88,3008.39,0.77802,0.37645,1.1451,0.95503,0.88224,0.91678,0.46251,1.93032,0.87372,2.47988,9.90318e-05,9.90318e-05,9.90318e-05
89,3042.43,0.78619,0.37839,1.14718,0.93439,0.8899,0.91536,0.46743,1.90484,0.90769,2.46489,9.19632e-05,9.19632e-05,9.19632e-05
90,3076.61,0.76054,0.37491,1.13557,0.93885,0.8893,0.91446,0.46734,1.91612,0.8722,2.44733,8.48946e-05,8.48946e-05,8.48946e-05
91,3112.09,0.76057,0.37544,1.13633,0.94899,0.88994,0.91338,0.46536,1.94615,0.91583,2.50954,7.7826e-05,7.7826e-05,7.7826e-05
92,3146.25,0.76,0.37059,1.11452,0.9437,0.89395,0.91612,0.45136,1.93734,0.91569,2.54741,7.07574e-05,7.07574e-05,7.07574e-05
93,3180.35,0.74534,0.36178,1.12721,0.95155,0.88583,0.92214,0.45651,1.93003,0.90705,2.55366,6.36888e-05,6.36888e-05,6.36888e-05
94,3214.48,0.7196,0.35965,1.10921,0.95047,0.88647,0.92273,0.46048,1.93003,0.87395,2.53048,5.66202e-05,5.66202e-05,5.66202e-05
95,3248.62,0.7494,0.3642,1.12218,0.95055,0.8833,0.92581,0.45382,1.92034,0.88997,2.53399,4.95516e-05,4.95516e-05,4.95516e-05
96,3282.8,0.70374,0.34439,1.09209,0.95799,0.88892,0.92831,0.45791,1.92048,0.86497,2.55352,4.2483e-05,4.2483e-05,4.2483e-05
97,3317.03,0.71606,0.3498,1.09791,0.95026,0.89214,0.9259,0.46682,1.9264,0.8875,2.57018,3.54144e-05,3.54144e-05,3.54144e-05
98,3351.16,0.70305,0.34848,1.09992,0.94583,0.89269,0.92797,0.46944,1.92435,0.89131,2.53693,2.83458e-05,2.83458e-05,2.83458e-05
99,3385.5,0.70522,0.35017,1.0946,0.93835,0.88367,0.91412,0.45745,1.92316,0.87251,2.55369,2.12772e-05,2.12772e-05,2.12772e-05
100,3419.75,0.68898,0.34338,1.09351,0.94277,0.88969,0.92087,0.46657,1.91643,0.88973,2.53772,1.42086e-05,1.42086e-05,1.42086e-05
